year,county,yield
2019,LOGAN,194.2
2019,MACON,204.4
2019,MARSHALL,184.9
2019,MASON,169.0
2019,MCLEAN,198.8
2019,OTHER (COMBINED) COUNTIES,200.5
2019,PEORIA,193.4
2019,STARK,202.9
2019,TAZEWELL,205.6
2019,WOODFORD,183.6
2019,CHAMPAIGN,180.8
2019,FORD,168.6
2019,IROQUOIS,152.6
2019,LIVINGSTON,178.8
2019,OTHER (COMBINED) COUNTIES,168.9
2019,PIATT,199.7
2019,CLAY,140.5
2019,COLES,184.0
2019,CRAWFORD,146.3
2019,CUMBERLAND,161.6
2019,DOUGLAS,193.6
2019,EFFINGHAM,173.9
2019,FAYETTE,166.2
2019,JASPER,174.0
2019,LAWRENCE,155.2
2019,MARION,153.1
2019,MOULTRIE,189.4
2019,OTHER (COMBINED) COUNTIES,169.3
2019,SHELBY,174.9
2019,BOONE,179.0
2019,COOK,174.0
2019,DE KALB,188.8
2019,GRUNDY,164.0
2019,KANE,175.8
2019,KENDALL,192.2
2019,LA SALLE,175.8
2019,LAKE,129.0
2019,OTHER (COMBINED) COUNTIES,164.6
2019,BUREAU,179.9
2019,CARROLL,206.1
2019,HENRY,187.0
2019,JO DAVIESS,188.9
2019,LEE,181.4
2019,MERCER,188.1
2019,OGLE,191.2
2019,OTHER (COMBINED) COUNTIES,174.3
2019,STEPHENSON,195.6
2019,WHITESIDE,192.0
2019,WINNEBAGO,191.8
2019,FRANKLIN,135.6
2019,GALLATIN,166.4
2019,JEFFERSON,129.3
2019,MASSAC,155.6
2019,OTHER (COMBINED) COUNTIES,146.5
2019,WABASH,156.2
2019,WHITE,171.9
2019,ALEXANDER,144.2
2019,CLINTON,181.9
2019,JACKSON,150.7
2019,MONROE,153.8
2019,OTHER (COMBINED) COUNTIES,124.5
2019,PULASKI,180.1
2019,RANDOLPH,144.4
2019,ST CLAIR,184.4
2019,UNION,130.9
2019,WASHINGTON,167.4
2019,WILLIAMSON,145.4
2019,ADAMS,168.1
2019,FULTON,175.8
2019,HENDERSON,193.2
2019,KNOX,196.2
2019,MCDONOUGH,188.8
2019,OTHER (COMBINED) COUNTIES,168.9
2019,SCHUYLER,163.1
2019,WARREN,194.1
2019,BOND,183.8
2019,CALHOUN,170.9
2019,CASS,205.6
2019,CHRISTIAN,198.7
2019,GREENE,191.7
2019,JERSEY,183.5
2019,MACOUPIN,183.0
2019,MADISON,198.3
2019,MONTGOMERY,187.7
2019,MORGAN,205.8
2019,OTHER (COMBINED) COUNTIES,178.1
2019,SANGAMON,206.3
2018,DE WITT,225.0
2018,LOGAN,236.2
2018,MACON,239.9
2018,MARSHALL,213.9
2018,MCLEAN,229.3
2018,OTHER (COMBINED) COUNTIES,209.0
2018,PEORIA,228.9
2018,STARK,234.0
2018,TAZEWELL,235.4
2018,WOODFORD,223.7
2018,CHAMPAIGN,221.3
2018,FORD,201.7
2018,IROQUOIS,196.0
2018,KANKAKEE,181.7
2018,LIVINGSTON,207.5
2018,PIATT,241.8
2018,VERMILION,218.8
2018,CLARK,203.5
2018,CLAY,189.3
2018,COLES,234.3
2018,CRAWFORD,194.3
2018,DOUGLAS,246.0
2018,EDGAR,213.1
2018,EFFINGHAM,235.2
2018,JASPER,205.7
2018,LAWRENCE,166.0
2018,MARION,199.2
2018,MOULTRIE,233.9
2018,OTHER (COMBINED) COUNTIES,215.7
2018,RICHLAND,167.7
2018,SHELBY,225.4
2018,BOONE,194.1
2018,DE KALB,190.3
2018,GRUNDY,201.0
2018,KANE,189.4
2018,KENDALL,208.0
2018,LA SALLE,215.0
2018,MCHENRY,190.8
2018,OTHER (COMBINED) COUNTIES,148.4
2018,WILL,186.3
2018,BUREAU,214.1
2018,CARROLL,217.1
2018,HENRY,219.5
2018,JO DAVIESS,209.1
2018,LEE,205.9
2018,MERCER,231.3
2018,OGLE,198.2
2018,PUTNAM,206.2
2018,ROCK ISLAND,223.4
2018,STEPHENSON,209.1
2018,WHITESIDE,215.9
2018,WINNEBAGO,184.4
2018,EDWARDS,168.6
2018,FRANKLIN,155.5
2018,GALLATIN,169.8
2018,HAMILTON,163.6
2018,JEFFERSON,161.2
2018,OTHER (COMBINED) COUNTIES,154.7
2018,SALINE,160.5
2018,WAYNE,177.2
2018,WHITE,172.4
2018,ALEXANDER,188.4
2018,CLINTON,184.8
2018,JACKSON,162.2
2018,MONROE,173.6
2018,OTHER (COMBINED) COUNTIES,168.7
